

<<ROLLBACK_START>>,<<FMS_SUPPLY_ALLOC_REVISED>>,,,,,,,, 	(01-MAY-2025 13:14:00)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,MODIFICATION_SEQ_NO,PUR_CONT, TIMESTAMP
2,3,1,3,33,0,S,1,725046, 	(01-MAY-2025 13:14:01)
2,3,1,3,35,0,S,1,725043, 	(01-MAY-2025 13:14:01)
2,3,1,3,68,1,S,1,725208, 	(01-MAY-2025 13:14:01)
2,3,1,3,80,0,S,1,725211, 	(01-MAY-2025 13:14:01)
2,3,1,3,82,0,S,1,725212, 	(01-MAY-2025 13:14:01)
2,3,1,3,40,0,S,1,725052, 	(01-MAY-2025 13:14:01)
2,3,1,3,44,0,S,1,725196, 	(01-MAY-2025 13:14:01)
2,3,1,3,50,0,S,1,725067, 	(01-MAY-2025 13:14:01)
2,3,1,3,54,0,S,1,725201, 	(01-MAY-2025 13:14:01)
2,3,1,3,3,0,S,1,725010, 	(01-MAY-2025 13:14:01)
2,3,1,3,18,0,S,1,725185, 	(01-MAY-2025 13:14:01)
2,3,1,3,100,2,S,1,725108, 	(01-MAY-2025 13:14:01)
2,3,1,3,55,0,S,1,725070, 	(01-MAY-2025 13:14:01)
2,3,1,3,56,0,S,1,725070, 	(01-MAY-2025 13:14:01)
2,3,1,3,56,0,S,1,725071, 	(01-MAY-2025 13:14:01)
2,3,1,3,113,0,S,1,725150, 	(01-MAY-2025 13:14:01)
2,3,1,3,117,0,S,1,725160, 	(01-MAY-2025 13:14:01)
2,3,1,3,117,0,S,1,725059, 	(01-MAY-2025 13:14:01)
2,3,1,3,117,0,S,1,725061, 	(01-MAY-2025 13:14:01)
2,3,1,3,123,1,S,1,725172, 	(01-MAY-2025 13:14:01)
2,3,1,3,108,0,S,1,725139, 	(01-MAY-2025 13:14:01)
2,3,1,3,115,0,S,1,825026, 	(01-MAY-2025 13:14:01)
2,3,0,0,225005,0,L,1,725008, 	(01-MAY-2025 13:14:01)
2,3,0,0,125016,0,X,1,825035, 	(01-MAY-2025 13:14:01)
2,3,0,0,125019,0,X,1,825035, 	(01-MAY-2025 13:14:01)
2,3,0,0,125012,0,X,1,725061, 	(01-MAY-2025 13:14:01)
2,3,0,0,125012,0,X,1,725152, 	(01-MAY-2025 13:14:01)
2,3,0,0,125022,0,X,1,825034, 	(01-MAY-2025 13:14:01)
2,3,0,0,125012,0,X,1,725146, 	(01-MAY-2025 13:14:01)
2,3,0,0,125019,0,X,1,825090, 	(01-MAY-2025 13:14:01)
2,3,0,0,125020,0,X,1,825030, 	(01-MAY-2025 13:14:01)
2,3,0,0,125012,0,X,1,725160, 	(01-MAY-2025 13:14:01)
2,3,0,0,125017,0,X,1,825035, 	(01-MAY-2025 13:14:01)
2,3,0,0,125024,0,X,1,825060, 	(01-MAY-2025 13:14:01)
2,3,0,0,125023,0,X,1,825034, 	(01-MAY-2025 13:14:01)
2,3,0,0,125015,0,X,1,725139, 	(01-MAY-2025 13:14:01)
2,3,0,0,125018,0,X,1,825035, 	(01-MAY-2025 13:14:01)
2,4,1,0,2,0,S,1,725028, 	(01-MAY-2025 13:14:01)
2,4,1,0,3,0,S,1,725030, 	(01-MAY-2025 13:14:01)
2,4,1,0,3,0,S,1,725033, 	(01-MAY-2025 13:14:01)
2,4,1,0,5,0,S,1,725035, 	(01-MAY-2025 13:14:01)
2,4,1,0,9,0,S,1,725191, 	(01-MAY-2025 13:14:01)
2,4,1,0,11,0,S,1,725052, 	(01-MAY-2025 13:14:01)
2,4,1,0,11,0,S,1,725053, 	(01-MAY-2025 13:14:01)
2,4,1,0,16,0,S,1,725066, 	(01-MAY-2025 13:14:01)
2,4,1,0,8,0,S,1,725045, 	(01-MAY-2025 13:14:01)
2,4,2,1,3,0,S,1,725132, 	(01-MAY-2025 13:14:01)
2,4,2,1,10,0,S,1,725172, 	(01-MAY-2025 13:14:01)
2,4,2,1,8,0,S,1,725166, 	(01-MAY-2025 13:14:01)
2,4,1,0,5,0,S,1,725032, 	(01-MAY-2025 13:14:01)
2,4,1,0,5,0,S,1,725184, 	(01-MAY-2025 13:14:01)
