

<<START>>,<<FMS_EXCHG_RATE_ENTRY>>,, 	(18-FEB-2025 10:26:50)
 
CD,NAME,EFF_DT,TIMESTAMP
13 ,SBI RATE BUY , 23/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
14 ,SBI RATE BUY SELL , 23/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
13 ,SBI RATE BUY , 27/05/2011 00:00:00, 	(18-FEB-2025 10:26:53)
13 ,SBI RATE BUY , 30/09/2014 00:00:00, 	(18-FEB-2025 10:26:53)
6 ,CUSTOM EXCHANGE RATE , 30/01/2017 00:00:00, 	(18-FEB-2025 10:26:53)
15 ,SBI RATE SELL , 31/01/2017 00:00:00, 	(18-FEB-2025 10:26:53)
13 ,SBI RATE BUY , 31/01/2017 00:00:00, 	(18-FEB-2025 10:26:53)
14 ,SBI RATE BUY SELL , 31/01/2017 00:00:00, 	(18-FEB-2025 10:26:53)
 ,GROUP FOREIGN EXCH RATE , 27/01/2017 00:00:00, 	(18-FEB-2025 10:26:53)	 (Not Inserted)
6 ,CUSTOM EXCHANGE RATE , 02/01/2015 00:00:00, 	(18-FEB-2025 10:26:53)
15 ,SBI RATE SELL , 05/02/2015 00:00:00, 	(18-FEB-2025 10:26:53)
13 ,SBI RATE BUY , 05/02/2015 00:00:00, 	(18-FEB-2025 10:26:53)
14 ,SBI RATE BUY SELL , 05/02/2015 00:00:00, 	(18-FEB-2025 10:26:53)
15 ,SBI RATE SELL , 11/02/2015 00:00:00, 	(18-FEB-2025 10:26:53)
13 ,SBI RATE BUY , 11/02/2015 00:00:00, 	(18-FEB-2025 10:26:53)
14 ,SBI RATE BUY SELL , 11/02/2015 00:00:00, 	(18-FEB-2025 10:26:53)
15 ,SBI RATE SELL , 13/02/2015 00:00:00, 	(18-FEB-2025 10:26:53)
