
<<START>>,<<FMS_TRADER_CN_MST>>, 	(16-JUL-2025 17:18:03)
 
CD,AGMT_TYPE,AGMT_NO,AGMR_REV,CONT_TYPE,CONT_NO,CONT_REV,TIMESTAMP
SELNG,6004, M ,5, 0 , N ,725049, 0 ,1, 	(16-JUL-2025 17:18:25)
SELNG,6005, M ,6, 0 , N ,725050, 0 ,1, 	(16-JUL-2025 17:18:25)
SELNG,6006, M ,7, 0 , N ,725051, 0 ,1, 	(16-JUL-2025 17:18:25)
SELNG,6007, M ,8, 0 , N ,725052, 0 ,1, 	(16-JUL-2025 17:18:25)
SELNG,6008, M ,9, 0 , N ,725053, 0 ,1, 	(16-JUL-2025 17:18:25)
SELNG,6009, M ,10, 0 , N ,725054, 0 ,1, 	(16-JUL-2025 17:18:25)
SELNG,6010, M ,11, 0 , N ,725055, 0 ,1, 	(16-JUL-2025 17:18:25)
SELNG,6011, M ,12, 0 , N ,725056, 0 ,1, 	(16-JUL-2025 17:18:25)
SELNG,6013, M ,13, 0 , N ,725057, 0 ,1, 	(16-JUL-2025 17:18:25)
SELNG,6014, M ,14, 0 , N ,725058, 0 ,1, 	(16-JUL-2025 17:18:25)
SELNG,7001, M ,15, 0 , N ,725059, 0 ,1, 	(16-JUL-2025 17:18:25)
SELNG,7002, M ,16, 0 , N ,725060, 0 ,1, 	(16-JUL-2025 17:18:25)
SELNG,7003, M ,17, 0 , N ,725061, 0 ,1, 	(16-JUL-2025 17:18:25)
SELNG,7005, M ,18, 0 , N ,725062, 0 ,1, 	(16-JUL-2025 17:18:25)
SELNG,7006, M ,19, 0 , N ,725063, 0 ,1, 	(16-JUL-2025 17:18:25)
SELNG,7008, M ,20, 0 , N ,725064, 0 ,1, 	(16-JUL-2025 17:18:25)
SELNG,7009, M ,21, 0 , N ,725065, 0 ,1, 	(16-JUL-2025 17:18:25)
