
<<START>>,<<FMS_ENTITY_ADDR_MST>>,,,, 	(01-MAR-2025 10:29:31)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ADRESS_TYPE,ENTITY,EFF_DATE,TIMESTAMP
VIRGO , 81 , R , C , 12/02/2022 00:00:00 ,  	(01-MAR-2025 10:29:34)
VIRGO , 81 , B , C , 12/02/2022 00:00:00 ,  	(01-MAR-2025 10:29:34)
BLPL , 82 , R , C , 02/03/2022 00:00:00 ,  	(01-MAR-2025 10:29:34)
BLPL , 82 , B , C , 26/05/2022 00:00:00 ,  	(01-MAR-2025 10:29:34)
BLPL , 82 , C , C , 26/05/2022 00:00:00 ,  	(01-MAR-2025 10:29:34)
GIPSKARTON , 83 , B , C , 24/03/2022 00:00:00 ,  	(01-MAR-2025 10:29:34)
GIPSKARTON , 83 , R , C , 24/03/2022 00:00:00 ,  	(01-MAR-2025 10:29:35)
TGPL , 84 , R , T , 27/04/2005 00:00:00 ,  	(01-MAR-2025 10:29:35)
TGPL , 84 , R , T , 27/04/2005 00:00:00 ,  	(01-MAR-2025 10:29:35)
SELNG , 85 , R , T , 03/10/2008 00:00:00 ,  	(01-MAR-2025 10:29:35)
SELNG , 85 , R , T , 03/10/2008 00:00:00 ,  	(01-MAR-2025 10:29:35)
SELNG , 85 , R , T , 29/04/2005 00:00:00 ,  	(01-MAR-2025 10:29:35)
SITME , 86 , R , T , 21/06/2021 00:00:00 ,  	(01-MAR-2025 10:29:35)
SITME , 86 , R , T , 21/06/2021 00:00:00 ,  	(01-MAR-2025 10:29:35)
SITME , 86 , R , T , 21/06/2021 00:00:00 ,  	(01-MAR-2025 10:29:35)
RIL-D6 , 90 , R , T , 01/01/2021 00:00:00 ,  	(01-MAR-2025 10:29:35)
RIL-D6 , 90 , R , T , 01/01/2021 00:00:00 ,  	(01-MAR-2025 10:29:35)
BP , 91 , R , T , 01/01/2021 00:00:00 ,  	(01-MAR-2025 10:29:35)
BP , 91 , R , T , 01/01/2021 00:00:00 ,  	(01-MAR-2025 10:29:35)
BP , 91 , R , T , 01/01/2021 00:00:00 ,  	(01-MAR-2025 10:29:35)
AMNS-T , 92 , R , T , 01/01/2019 00:00:00 ,  	(01-MAR-2025 10:29:35)
RIL-CBM , 93 , R , T , 25/03/2022 00:00:00 ,  	(01-MAR-2025 10:29:35)
PIL-Haz , 96 , R , R , 14/09/2008 00:00:00 ,  	(01-MAR-2025 10:29:35)
PIL-Haz , 96 , R , R , 14/09/2010 00:00:00 ,  	(01-MAR-2025 10:29:35)
PIL-Haz , 96 , R , R , 25/04/2019 00:00:00 ,  	(01-MAR-2025 10:29:35)
GSPL , 97 , R , C , 21/04/2006 00:00:00 ,  	(01-MAR-2025 10:29:35)
GSPL , 97 , R , R , 21/04/2006 00:00:00 ,  	(01-MAR-2025 10:29:35)
PARK-MSK , 107 , R , R , 19/04/2022 00:00:00 ,  	(01-MAR-2025 10:29:35)
PARK-BHD , 108 , R , R , 19/04/2022 00:00:00 ,  	(01-MAR-2025 10:29:35)
PARKPHUCBM , 109 , R , R , 19/04/2022 00:00:00 ,  	(01-MAR-2025 10:29:35)
