

<<START>>,<<FMS_SUPPLY_CONT_MST>>,,, 	(12-SEP-2025 10:51:31)
 
COUNTERPARTY_ABBR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
Gail,1,0,19,0,S, 	(12-SEP-2025 10:51:34)
Gail,1,0,20,0,S, 	(12-SEP-2025 10:51:34)
Gail,1,0,21,0,S, 	(12-SEP-2025 10:51:34)
Gail,2,1,3,0,S, 	(12-SEP-2025 10:51:34)
Gail,2,1,4,0,S, 	(12-SEP-2025 10:51:34)
Gail,2,1,3,1,S, 	(12-SEP-2025 10:51:34)
Gail,2,1,4,1,S, 	(12-SEP-2025 10:51:34)
Gail,2,1,5,0,S, 	(12-SEP-2025 10:51:34)
Gail,2,1,6,0,S, 	(12-SEP-2025 10:51:34)
Gail,2,1,8,0,S, 	(12-SEP-2025 10:51:34)
Gail,2,1,9,0,S, 	(12-SEP-2025 10:51:34)
Gail,2,1,10,0,S, 	(12-SEP-2025 10:51:34)
Gail,2,1,7,0,S, 	(12-SEP-2025 10:51:34)
Gail,0,4,1,0,X, 	(12-SEP-2025 10:51:34)
Gail,0,4,4,0,X, 	(12-SEP-2025 10:51:34)
Gail,0,4,5,0,X, 	(12-SEP-2025 10:51:34)
Gail,0,4,1,1,X, 	(12-SEP-2025 10:51:34)
Gail,0,4,2,0,X, 	(12-SEP-2025 10:51:34)
Gail,0,4,3,0,X, 	(12-SEP-2025 10:51:34)
Gail,0,4,2,1,X, 	(12-SEP-2025 10:51:34)
Gail,0,4,3,1,X, 	(12-SEP-2025 10:51:34)
Gail,0,4,6,0,X, 	(12-SEP-2025 10:51:34)
Gail,0,4,12,0,X, 	(12-SEP-2025 10:51:34)
Gail,0,4,7,0,X, 	(12-SEP-2025 10:51:34)
Gail,0,4,8,0,X, 	(12-SEP-2025 10:51:34)
Gail,0,4,9,0,X, 	(12-SEP-2025 10:51:34)
Gail,0,4,10,0,X, 	(12-SEP-2025 10:51:34)
Gail,0,4,11,0,X, 	(12-SEP-2025 10:51:34)
ESL,1,0,1,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,2,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,3,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,4,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,5,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,28,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,26,1,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,27,1,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,9,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,15,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,20,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,29,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,30,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,31,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,32,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,33,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,34,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,35,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,36,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,37,0,S, 	(12-SEP-2025 10:51:34)
ESL,1,0,38,0,S, 	(12-SEP-2025 10:51:34)
