
<<START>>,<<FMS_PUR_SG_INV_MST>>,,, 	(28-APR-2025 13:49:32)
 
CARGO_REF_NO, INVOICE_NO, INVOICE_DT, EXP_DELV_QTY, REMARK,TIMESTAMP
6010,null,null,20/02/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
6010,null,null,20/02/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
6010,null,null,20/02/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
6010,null,null,20/02/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
6005,null,null,29/11/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
6005,null,null,29/11/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
6005,null,null,29/11/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
6005,null,null,29/11/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
6002,null,null,17/05/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
6002,null,null,17/05/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
6002,null,null,27/05/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
6002,null,null,17/05/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
7008,null,null,29/07/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
7008,null,null,29/07/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
7008,null,null,29/07/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
7008,null,null,29/07/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
7008,null,null,29/07/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
7025,null,null,13/12/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
7025,null,null,13/12/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
7025,null,null,13/12/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
7025,null,null,13/12/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
7025,null,null,13/12/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
8004,null,null,08/03/2008 00:00:00,null, 	(28-APR-2025 13:49:37)
8004,null,null,08/03/2008 00:00:00,null, 	(28-APR-2025 13:49:37)
8004,null,null,14/03/2008 00:00:00,null, 	(28-APR-2025 13:49:37)
8004,null,null,08/03/2008 00:00:00,null, 	(28-APR-2025 13:49:37)
